word_count_statistics
,noun,count
0,Adolf,5
1,man,5
2,brush,3
3,Hitler,3
4,blue,3
5,hand,3
6,Bob,3
7,figure,2
8,thing,2
9,sir,2
10,surprise,2
11,shoulder,2
12,easel,2
13,firm,2
14,hood,2
15,time,2
16,afro,2
17,point,1
18,smile,1
19,stranger,1
20,sky,1
21,Ross,1
22,ground,1
23,hold,1
24,hair,1
25,arm,1
26,squirrel,1
27,Xs,1
28,portion,1
29,corner,1
30,left,1
31,layer,1
32,stroke,1
33,wash,1
34,Tell,1
35,woolen,1
36,bit,1
37,water,1
38,devil,1
39,wood,1
40,selection,1
41,year,1
42,tiger,1
43,head,1
44,artist,1
45,dozens,1
46,assasination,1
47,attemps,1
48,travelers,1
49,traveller,1
50,mustache,1
51,garde,1
52,place,1
53,world,1
54,art,1
55,life,1
56,Easy,1
57,way,1
58,mouth,1
59,owner,1
60,tones,1
61,death,1
62,war,1
63,tutor,1
64,dip,1
65,titanium,1
66,strokes,1
67,pallette,1
68,painter,1
,verb,count
0,nodded,3
1,want,3
2,brush,3
3,go,3
4,paint,3
5,come,3
6,wanted,3
7,try,2
8,beat,2
9,see,2
10,let,2
11,sighed,2
12,figure,2
13,patted,1
14,allow,1
15,went,1
16,keep,1
17,lies,1
18,done,1
19,struggling,1
20,grabbed,1
21,lifted,1
22,trembling,1
23,attempted,1
24,mimicked,1
25,help,1
26,turn,1
27,pulling,1
28,hurt,1
29,smiled,1
30,popped,1
31,filled,1
32,grab,1
33,mix,1
34,stare,1
35,meaning,1
36,kill,1
37,wants,1
38,teach,1
39,pulls,1
40,reveal,1
41,sat,1
42,twirling,1
43,continues,1
44,thinking,1
45,fought,1
46,felt,1
47,calming,1
48,hanging,1
49,end,1
50,answer,1
51,speaking,1
52,assuaging,1
53,make,1
54,seen,1
55,heard,1
,adj,count
0,nice,4
1,afro,2
2,different,1
3,top,1
4,tiny,1
5,open,1
6,mixed,1
7,slower,1
8,confident,1
9,steady,1
10,calm,1
11,pale,1
12,prussian,1
13,frizzy,1
14,white,1
15,inch,1
16,much,1
17,famous,1
18,soft,1
19,avant,1
20,stylized,1
21,personal,1
22,bright,1
,adv,count
0,well,1
1,wearily,1
2,yet,1
3,even,1
4,together,1
5,rather,1
6,barely,1
7,soon,1
8,ahead,1
9,almost,1
10,perfectly,1
11,ya,1
12,first,1
13,maybe,1
